query_id,video_id,split,query_type,mode,expected_presence,raw_recall_at_1,raw_recall_at_3,raw_recall_at_5,raw_mrr_at_5,calibrated_recall_at_5,calibrated_mrr_at_5,raw_returned_at_5,calibrated_returned_at_5,warm_median_seconds
phone-object-smartphone,phone-throwing,calibration,OBJECT,visual,True,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,5,0,0.015003799999249168
phone-object-woman,phone-throwing,calibration,OBJECT,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.01793829999951413
phone-scene-title,phone-throwing,calibration,SCENE,visual,True,0.0,1.0,1.0,0.5,0.0,0.0,5,0,0.016682899999068468
phone-compositional-holding,phone-throwing,calibration,COMPOSITIONAL,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.0211581000003207
phone-action-throw,phone-throwing,calibration,ACTION_TEMPORAL,visual,True,0.0,1.0,1.0,0.5,0.0,0.0,5,0,0.02000909999878786
phone-negative-bicycle,phone-throwing,calibration,NEGATIVE,visual,False,,,,,,,5,0,0.020361599999887403
phone-negative-car,phone-throwing,calibration,NEGATIVE,visual,False,,,,,,,5,0,0.01578960000006191
phone-negative-classroom,phone-throwing,calibration,NEGATIVE,visual,False,,,,,,,5,0,0.016240500001003966
jump-object-backpack,base-jump,calibration,OBJECT,visual,True,0.0,1.0,1.0,0.5,0.0,0.0,5,1,0.014799700000367011
jump-scene-rocks,base-jump,calibration,SCENE,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.019856199998685042
jump-object-hole,base-jump,calibration,OBJECT,visual,True,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,5,5,0.021742099999755737
jump-compositional-edge,base-jump,calibration,COMPOSITIONAL,visual,True,0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,5,5,0.022652499999821885
jump-action-leap,base-jump,calibration,ACTION_TEMPORAL,visual,True,0.5,1.0,1.0,1.0,1.0,1.0,5,5,0.02052229999935662
jump-negative-bicycle,base-jump,calibration,NEGATIVE,visual,False,,,,,,,5,0,0.018536899999162415
jump-negative-car,base-jump,calibration,NEGATIVE,visual,False,,,,,,,5,0,0.019318700000440003
jump-negative-classroom,base-jump,calibration,NEGATIVE,visual,False,,,,,,,5,0,0.018349899999520858
street-object-bus,street-traffic,heldout,OBJECT,visual,True,1.0,1.0,1.0,1.0,1.0,1.0,5,4,0.021996100000251317
street-object-bicycle,street-traffic,heldout,OBJECT,visual,True,0.5,0.5,1.0,1.0,0.0,0.0,5,0,0.02004289999968023
street-scene-intersection,street-traffic,heldout,SCENE,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.018267999999807216
street-compositional-cyclist-bus,street-traffic,heldout,COMPOSITIONAL,visual,True,0.5,1.0,1.0,1.0,1.0,1.0,5,5,0.01974070000142092
street-action-crossing,street-traffic,heldout,ACTION_TEMPORAL,visual,True,1.0,1.0,1.0,1.0,1.0,1.0,5,1,0.021387200000390294
street-action-traffic,street-traffic,heldout,ACTION_TEMPORAL,visual,True,1.0,1.0,1.0,1.0,1.0,1.0,5,2,0.023102800001652213
street-negative-dog,street-traffic,heldout,NEGATIVE,visual,False,,,,,,,5,0,0.021629200000461424
street-negative-classroom,street-traffic,heldout,NEGATIVE,visual,False,,,,,,,5,0,0.02036450000014156
street-negative-swimming,street-traffic,heldout,NEGATIVE,visual,False,,,,,,,5,0,0.0219716999999946
street-negative-airplane,street-traffic,heldout,NEGATIVE,visual,False,,,,,,,5,0,0.019752000000153203
throw-object-man,ball-throwing,heldout,OBJECT,visual,True,1.0,1.0,1.0,1.0,1.0,1.0,3,2,0.021414000000731903
throw-object-ball,ball-throwing,heldout,OBJECT,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,3,0,0.018917199999123113
throw-scene-park,ball-throwing,heldout,SCENE,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,3,0,0.016054100000474136
throw-compositional-holding,ball-throwing,heldout,COMPOSITIONAL,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,3,0,0.021328400000129477
throw-compositional-children,ball-throwing,heldout,COMPOSITIONAL,visual,True,1.0,1.0,1.0,1.0,1.0,1.0,3,3,0.01833949999854667
throw-action-ball,ball-throwing,heldout,ACTION_TEMPORAL,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,3,0,0.02031900000110909
throw-negative-bicycle,ball-throwing,heldout,NEGATIVE,visual,False,,,,,,,3,0,0.01857419999942067
throw-negative-car,ball-throwing,heldout,NEGATIVE,visual,False,,,,,,,3,0,0.02202719999877445
throw-negative-swimming,ball-throwing,heldout,NEGATIVE,visual,False,,,,,,,3,0,0.01616420000027574
talk-object-speaker,find-link-talk,heldout,OBJECT,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.022516900000482565
talk-object-speaker,find-link-talk,heldout,OBJECT,hybrid,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.0207514000012452
talk-object-screen,find-link-talk,heldout,OBJECT,visual,True,1.0,1.0,1.0,1.0,0.0,0.0,5,0,0.01785530000051949
